p e	n
637.2 1128 5.4
608.1 1096 5.3
579.8 1064 5.2
552.3 1033 5.1
525.6 1002 5.0
499.8 971.6	4.9
474.7 941.8	4.8
450.3 912.6	4.7
426.7 883.8	4.6
403.9 855.6	4.5
377.6 827.9	4.4
352.4 800.8	4.3
328.4 774.3	4.2
305.5 748.3	4.1
283.7 722.9	4.0
262.9 698.0	3.9
243.2 673.6	3.8
224.5 649.7	3.7
206.8 626.3	3.6
190.0 603.4	3.5
174.2 581.0	3.4
159.3 559.0	3.3
145.2 537.4	3.2
132.0 516.3	3.1
119.6 495.6	3.0
104.5 475.3	2.9
90.82 455.6	2.8
78.53 436.3	2.7
67.52 417.4	2.6
57.72 399.0	2.5
49.02 380.9	2.4
41.35 363.2	2.3
34.61 345.7	2.2
28.73 328.6	2.1
23.64 311.7	2.0
19.25 295.0	1.9
15.51 278.6	1.8
12.34 262.3	1.7
9.684 246.3	1.6
7.481 230.3	1.5
5.677 214.6	1.4
4.220 198.9	1.3
3.064 183.3	1.2
2.163 167.8	1.1
1.851 158.0	1.0371
1.464 144.4	0.9483
1.154 131.5	0.8646
0.9094 119.5 0.7861
0.7162 108.2 0.7124
0.4470 87.90 0.5792
4.054e-1 75.81 5.000e-1
3.713e-1 72.0 4.750e-1
3.385e-1 68.19 4.500e-1
3.073e-1 64.38 4.250e-1
2.777e-1 60.58 4.000e-1
2.497e-1 56.78 3.750e-1
2.231e-1 52.98 3.500e-1
1.980e-1 49.18 3.250e-1
1.742e-1 45.38 3.000e-1
1.518e-1 41.58 2.750e-1
1.308e-1 37.79 2.500e-1
1.110e-1 34.0 2.250e-1
9.260e-2 30.21 2.000e-1
7.544e-2 26.42 1.750e-1
5.961e-2 22.64 1.500e-1
4.515e-2 18.86 1.250e-1
3.216e-2 15.08 1.000e-1
2.085e-2 11.30 7.500e-2
1.166e-2 7.530 5.000e-2
5.799e-3 3.762 2.500e-2
5.944e-4 9.390e-1 6.250e-3
8.731e-4 8.207e-1 5.491e-3
7.601e-4 6.673e-1 4.464e-3
6.759e-4 5.427e-1 3.633e-3
6.135e-4 4.443e-1 2.974e-3
5.678e-4 3.688e-1 2.469e-3		
5.212e-4 2.917e-1 1.954e-3
4.924e-4 2.488e-1 1.669e-3
4.871e-4 2.398e-1 1.608e-3
3.630e-4 1.855e-1 1.244e-3
2.791e-4 1.473e-1 9.881e-4
2.053e-4 1.169e-1 7.850e-4
1.805e-4 1.029e-1 6.906e-4
1.621e-4 9.284e-2 6.235e-4
1.269e-4 7.376e-2 4.953e-4
9.330e-5 5.852e-2 3.934e-4
6.865e-5 4.649e-2 3.125e-4
5.048e-5 3.692e-2 2.482e-4
3.173e-5 2.931e-2 1.972e-4
2.888e-5 2.328e-2 1.566e-4
2.124e-5 1.848e-2 1.244e-4
1.562e-5 1.468e-2 9.881e-5
1.209e-5 1.166e-2 7.850e-5
8.893e-6 9.256e-3 6.235e-5
6.540e-6 7.353e-3 4.952e-5
4.807e-6 5.836e-3 3.934e-5
3.533e-6 4.637e-3 3.125e-5
2.722e-6 3.683e-3 2.482e-5
1.470e-6 2.323e-3 1.566e-5	
7.938e-7 1.465e-3 9.881e-6
4.281e-7 9.245e-4 6.235e-6
3.143e-7 7.342e-4 4.952e-6
2.577e-7 5.830e-4 3.934e-6
1.890e-7 4.631e-4 3.125e-6
1.017e-7 2.922e-4 1.972e-6
5.453e-8 1.843e-4 1.244e-6
4.166e-8 1.464e-4 9.881e-7
1.625e-8 7.337e-5 4.953e-7
6.278e-9 3.676e-5 2.482e-7
2.392e-9 1.842e-5 1.244e-7
8.955e-10 9.233e-6 6.235e-8
3.282e-10 4.627e-6 3.125e-8
2.441e-10 3.676e-6 2.483e-8
6.088e-11 1.463e-6 9.881e-9
1.447e-11 5.825e-7 3.934e-9
3.286e-12 2.319e-7 1.566e-9
7.183e-13 9.228e-8 6.235e-10
1.517e-13 3.675e-8 2.483e-10
3.100e-14 1.463e-8 9.881e-11
6.081e-15 5.825e-9 3.934e-11
1.186e-16 6.416e-10 4.331e-12
3.632e-18 1.183e-10 7.937e-13
1.061e-19 2.516e-11 1.700e-13
8.737e-21 9.150e-12 6.187e-14
7.551e-22 6.472e-12 4.369e-14
6.303e-23 4.547e-12 3.069e-14
6.303e-24 4.407e-12 2.975e-14
6.303e-25 4.385e-12 2.956e-14